County,State,Estimate,Population_total,Ratio
Blackford,Indiana,1145,11758,0.1
Boone,Indiana,21336,67843,0.31
Brown,Indiana,3303,15092,0.22
Carroll,Indiana,2336,20257,0.12
Cass,Indiana,3443,37689,0.09
Clark,Indiana,17099,118302,0.14
Clay,Indiana,3104,26225,0.12
Clinton,Indiana,3453,32399,0.11
Crawford,Indiana,764,10577,0.07
Daviess,Indiana,2717,33351,0.08
Dearborn,Indiana,7831,49458,0.16
Decatur,Indiana,3684,26559,0.14
DeKalb,Indiana,5221,43475,0.12
Delaware,Indiana,16859,114135,0.15
Dubois,Indiana,6793,42736,0.16
Elkhart,Indiana,25613,206341,0.12
Fayette,Indiana,2153,23102,0.09
Floyd,Indiana,15732,78522,0.2
Fountain,Indiana,1712,16346,0.1
Franklin,Indiana,3287,22758,0.14
Fulton,Indiana,2188,19974,0.11
Gibson,Indiana,4107,33659,0.12
Grant,Indiana,7888,65769,0.12
Greene,Indiana,3381,31922,0.11
Hamilton,Indiana,124554,338011,0.37
Hancock,Indiana,15868,78168,0.2
Harrison,Indiana,5230,40515,0.13
Hendricks,Indiana,40319,170311,0.24
Henry,Indiana,5652,47972,0.12
Howard,Indiana,12282,82544,0.15
Huntington,Indiana,5022,36520,0.14
Jackson,Indiana,5014,44231,0.11
Jasper,Indiana,3213,33562,0.1
Jay,Indiana,1567,20436,0.08
Jefferson,Indiana,3989,32308,0.12
Jennings,Indiana,2278,27735,0.08
Johnson,Indiana,33485,158167,0.21
Knox,Indiana,4149,36594,0.11
Kosciusko,Indiana,12328,79456,0.16
LaGrange,Indiana,2370,39614,0.06
Lake,Indiana,73988,485493,0.15
LaPorte,Indiana,13914,109888,0.13
Lawrence,Indiana,5078,45370,0.11
Madison,Indiana,16578,129569,0.13
Marion,Indiana,193422,964582,0.2
Marshall,Indiana,6047,46258,0.13
Martin,Indiana,978,10255,0.1
Miami,Indiana,3249,35516,0.09
Monroe,Indiana,38637,148431,0.26
Montgomery,Indiana,4725,38338,0.12
Morgan,Indiana,8323,70489,0.12
Newton,Indiana,1176,13984,0.08
Noble,Indiana,4330,47744,0.09
Ohio,Indiana,643,5875,0.11
Orange,Indiana,1481,19646,0.08
Owen,Indiana,1960,20799,0.09
Parke,Indiana,1443,16937,0.09
Perry,Indiana,2194,19169,0.11
Pike,Indiana,1230,12389,0.1
Porter,Indiana,32880,170389,0.19
Posey,Indiana,3928,25427,0.15
Pulaski,Indiana,1112,12353,0.09
Putnam,Indiana,4162,37576,0.11
Randolph,Indiana,2484,24665,0.1
Ripley,Indiana,3473,28324,0.12
Rush,Indiana,1602,16581,0.1
St. Joseph,Indiana,52101,271826,0.19
Scott,Indiana,1966,23873,0.08
Shelby,Indiana,5765,44729,0.13
Spencer,Indiana,2188,20277,0.11
Starke,Indiana,1875,22995,0.08
Steuben,Indiana,5168,34594,0.15
Sullivan,Indiana,1804,20669,0.09
Switzerland,Indiana,791,10751,0.07
Tippecanoe,Indiana,40984,195732,0.21
Tipton,Indiana,2671,15148,0.18
Union,Indiana,933,7054,0.13
Vanderburgh,Indiana,33511,181451,0.18
Vermillion,Indiana,1552,15498,0.1
Vigo,Indiana,17408,107038,0.16
Wabash,Indiana,3923,30996,0.13
Warren,Indiana,1141,8265,0.14
Warrick,Indiana,12992,62998,0.21
Washington,Indiana,2591,28036,0.09
Wayne,Indiana,8295,65884,0.13
Wells,Indiana,3454,28296,0.12
White,Indiana,2720,24102,0.11
Whitley,Indiana,4842,33964,0.14
Adair,Iowa,945,7152,0.13
Adams,Iowa,414,3602,0.11
Allamakee,Iowa,1718,13687,0.13
Appanoose,Iowa,1454,12426,0.12
Audubon,Iowa,688,5496,0.13
Benton,Iowa,3925,25645,0.15
Black Hawk,Iowa,24360,131228,0.19
Boone,Iowa,4691,26234,0.18
Bremer,Iowa,5036,25062,0.2
Buchanan,Iowa,3018,21175,0.14
Buena Vista,Iowa,2477,19620,0.13
Butler,Iowa,1775,14439,0.12
Calhoun,Iowa,1306,9668,0.14
Carroll,Iowa,3079,20165,0.15
Cass,Iowa,1872,12836,0.15
Cedar,Iowa,2870,18627,0.15
Cerro Gordo,Iowa,7217,42450,0.17
Cherokee,Iowa,1819,11235,0.16
Chickasaw,Iowa,1427,11933,0.12
Clarke,Iowa,1020,9395,0.11
Clay,Iowa,2585,16016,0.16
Clayton,Iowa,2250,17549,0.13
Clinton,Iowa,5849,46429,0.13
Crawford,Iowa,1584,16820,0.09
Dallas,Iowa,28669,93453,0.31
Davis,Iowa,1089,9000,0.12
Decatur,Iowa,1212,7870,0.15
Delaware,Iowa,1961,17011,0.12
Des Moines,Iowa,5523,38967,0.14
Dickinson,Iowa,4277,17258,0.25
Dubuque,Iowa,19947,97311,0.21
Emmet,Iowa,1219,9208,0.13
Fayette,Iowa,2518,19650,0.13
Floyd,Iowa,2148,15642,0.14
Franklin,Iowa,1272,10070,0.13
Fremont,Iowa,941,6960,0.14
Greene,Iowa,1176,8888,0.13
Grundy,Iowa,2407,12232,0.2
Guthrie,Iowa,1492,10689,0.14
Hamilton,Iowa,2566,14773,0.17
Hancock,Iowa,1829,10630,0.17
Hardin,Iowa,2524,16846,0.15
Harrison,Iowa,1923,14049,0.14
Henry,Iowa,2681,19954,0.13
Howard,Iowa,995,9158,0.11
Humboldt,Iowa,1421,9558,0.15
Ida,Iowa,891,6860,0.13
Iowa,Iowa,2124,16184,0.13
Jackson,Iowa,2618,19439,0.13
Jasper,Iowa,4889,37185,0.13
Jefferson,Iowa,4294,18295,0.23
Johnson,Iowa,46226,151140,0.31
Jones,Iowa,2866,20681,0.14
Keokuk,Iowa,1308,10246,0.13
Kossuth,Iowa,1842,14813,0.12
Lee,Iowa,3980,33657,0.12
Linn,Iowa,49890,226706,0.22
Louisa,Iowa,1148,11035,0.1
Lucas,Iowa,1014,8600,0.12
Lyon,Iowa,1577,11755,0.13
Madison,Iowa,2691,16338,0.16
Mahaska,Iowa,3287,22095,0.15
Marion,Iowa,6329,33253,0.19
Marshall,Iowa,4981,39369,0.13
Mills,Iowa,2491,15109,0.16
Mitchell,Iowa,1383,10586,0.13
Monona,Iowa,970,8615,0.11
Monroe,Iowa,932,7707,0.12
Montgomery,Iowa,1290,9917,0.13
Muscatine,Iowa,6163,42664,0.14
O'Brien,Iowa,1798,13753,0.13
Osceola,Iowa,760,5958,0.13
Page,Iowa,2253,15107,0.15
Palo Alto,Iowa,1566,8886,0.18
Plymouth,Iowa,3899,25177,0.15
Pocahontas,Iowa,731,6619,0.11
Polk,Iowa,116749,490161,0.24
Pottawattamie,Iowa,13567,93206,0.15
Poweshiek,Iowa,3144,18504,0.17
Ringgold,Iowa,737,4894,0.15
Sac,Iowa,1390,9721,0.14
Scott,Iowa,37124,172943,0.21
Shelby,Iowa,1825,11454,0.16
Sioux,Iowa,6030,34855,0.17
Story,Iowa,26227,97117,0.27
Tama,Iowa,1834,16854,0.11
Taylor,Iowa,617,6121,0.1
Union,Iowa,1518,12241,0.12
Van Buren,Iowa,725,7044,0.1
Wapello,Iowa,4512,34969,0.13
Warren,Iowa,10498,51466,0.2
Washington,Iowa,3243,21965,0.15
Wayne,Iowa,553,6441,0.09
Webster,Iowa,4912,35904,0.14
Winnebago,Iowa,1548,10354,0.15
Winneshiek,Iowa,4054,19991,0.2
Woodbury,Iowa,15217,103107,0.15
Worth,Iowa,921,7381,0.12
Wright,Iowa,1526,12562,0.12
Allen,Kansas,1740,12369,0.14
Anderson,Kansas,944,7858,0.12
Atchison,Kansas,2234,16073,0.14
Barber,Kansas,665,4427,0.15
Barton,Kansas,3736,25779,0.14
Bourbon,Kansas,2066,14534,0.14
Brown,Kansas,1388,9564,0.15
Butler,Kansas,13044,66911,0.19
Chase,Kansas,464,2648,0.18
Chautauqua,Kansas,379,3250,0.12
Cherokee,Kansas,2716,19939,0.14
Cheyenne,Kansas,552,2657,0.21
Clark,Kansas,369,1994,0.19
Clay,Kansas,1505,8002,0.19
Cloud,Kansas,1438,8786,0.16
Coffey,Kansas,1432,8179,0.18
Comanche,Kansas,200,1700,0.12
Cowley,Kansas,5084,34908,0.15
Crawford,Kansas,6950,38818,0.18
Decatur,Kansas,484,2827,0.17
Dickinson,Kansas,2985,18466,0.16
Doniphan,Kansas,1057,7600,0.14
Douglas,Kansas,34607,122259,0.28
Edwards,Kansas,382,2798,0.14
Elk,Kansas,294,2530,0.12
Ellis,Kansas,6335,28553,0.22
Ellsworth,Kansas,882,6102,0.14
Finney,Kansas,3673,36467,0.1
Ford,Kansas,3604,33619,0.11
Franklin,Kansas,3492,25544,0.14
Geary,Kansas,4247,31670,0.13
Gove,Kansas,379,2636,0.14
Graham,Kansas,470,2482,0.19
Grant,Kansas,655,7150,0.09
Gray,Kansas,764,5988,0.13
Greeley,Kansas,220,1232,0.18
Greenwood,Kansas,880,5982,0.15
Hamilton,Kansas,312,2539,0.12
Harper,Kansas,628,5436,0.12
Harvey,Kansas,7543,34429,0.22
Haskell,Kansas,425,3968,0.11
Hodgeman,Kansas,403,1794,0.22
Jackson,Kansas,1807,13171,0.14
Jefferson,Kansas,3070,19043,0.16
Jewell,Kansas,425,2879,0.15
Johnson,Kansas,223462,602401,0.37
Kearny,Kansas,340,3838,0.09
Kingman,Kansas,1270,7152,0.18
Kiowa,Kansas,454,2475,0.18
Labette,Kansas,2591,19618,0.13
Lane,Kansas,246,1535,0.16
Leavenworth,Kansas,17187,81758,0.21
Lincoln,Kansas,486,2962,0.16
Linn,Kansas,1105,9703,0.11
Logan,Kansas,318,2794,0.11
Lyon,Kansas,5469,33195,0.16
McPherson,Kansas,5435,28542,0.19
Marion,Kansas,2054,11884,0.17
Marshall,Kansas,1280,9707,0.13
Meade,Kansas,559,4033,0.14
Miami,Kansas,6766,34237,0.2
Mitchell,Kansas,1082,5979,0.18
Montgomery,Kansas,4282,31829,0.13
Morris,Kansas,865,5620,0.15
Morton,Kansas,322,2587,0.12
Nemaha,Kansas,1680,10231,0.16
Neosho,Kansas,1950,16007,0.12
Ness,Kansas,408,2750,0.15
Norton,Kansas,750,5361,0.14
Osage,Kansas,2115,15949,0.13
Osborne,Kansas,598,3421,0.17
Ottawa,Kansas,999,5704,0.18
Pawnee,Kansas,969,6414,0.15
Phillips,Kansas,811,5234,0.15
Pottawatomie,Kansas,5096,24383,0.21
Pratt,Kansas,1850,9164,0.2
Rawlins,Kansas,444,2530,0.18
Reno,Kansas,9003,61998,0.15
Republic,Kansas,871,4636,0.19
Rice,Kansas,1421,9537,0.15
Riley,Kansas,17213,74232,0.23
Rooks,Kansas,828,4920,0.17
Rush,Kansas,518,3036,0.17
Russell,Kansas,1165,6856,0.17
Saline,Kansas,10141,54224,0.19
Scott,Kansas,809,4823,0.17
Sedgwick,Kansas,102670,516042,0.2
Seward,Kansas,1421,21428,0.07
Shawnee,Kansas,37290,176875,0.21
Sheridan,Kansas,400,2521,0.16
Sherman,Kansas,892,5917,0.15
Smith,Kansas,602,3583,0.17
Stafford,Kansas,728,4156,0.18
Stanton,Kansas,242,2006,0.12
Stevens,Kansas,481,5485,0.09
Sumner,Kansas,3636,22836,0.16
Thomas,Kansas,1133,7777,0.15
Trego,Kansas,530,2803,0.19
Wabaunsee,Kansas,1143,6931,0.16
Wallace,Kansas,347,1518,0.23
Washington,Kansas,784,5406,0.15
Wichita,Kansas,309,2119,0.15
Wilson,Kansas,990,8525,0.12
Woodson,Kansas,397,3138,0.13
Wyandotte,Kansas,18934,165429,0.11
Adair,Kentucky,2069,19202,0.11
Allen,Kentucky,2325,21315,0.11
Anderson,Kentucky,3100,22747,0.14
Ballard,Kentucky,897,7888,0.11
Barren,Kentucky,4878,44249,0.11
Bath,Kentucky,1188,12500,0.1
Bell,Kentucky,1733,26032,0.07
Boone,Kentucky,27538,133581,0.21
Bourbon,Kentucky,2732,19788,0.14
Boyd,Kentucky,6613,46718,0.14
Boyle,Kentucky,5038,30060,0.17
Bracken,Kentucky,756,8303,0.09
Breathitt,Kentucky,1399,12630,0.11
Breckinridge,Kentucky,1677,20477,0.08
Bullitt,Kentucky,8235,81676,0.1
Butler,Kentucky,1253,12879,0.1
Caldwell,Kentucky,1369,12747,0.11
Calloway,Kentucky,6885,39001,0.18
Campbell,Kentucky,23136,93584,0.25
Carlisle,Kentucky,500,4760,0.11
Carroll,Kentucky,590,10631,0.06
Carter,Kentucky,2340,26797,0.09
Casey,Kentucky,1406,16159,0.09
Christian,Kentucky,7360,70461,0.1
Clark,Kentucky,5090,36263,0.14
Clay,Kentucky,1430,19901,0.07
Clinton,Kentucky,731,10218,0.07
Crittenden,Kentucky,832,8806,0.09
Cumberland,Kentucky,649,6614,0.1
Daviess,Kentucky,15552,101511,0.15
Edmonson,Kentucky,903,12150,0.07
Elliott,Kentucky,539,7517,0.07
Estill,Kentucky,997,14106,0.07
Fayette,Kentucky,90867,323152,0.28
Fleming,Kentucky,1268,14581,0.09
Floyd,Kentucky,2909,35589,0.08
Franklin,Kentucky,10617,50991,0.21
Fulton,Kentucky,583,5969,0.1
Gallatin,Kentucky,680,8869,0.08
Garrard,Kentucky,2180,17666,0.12
Grant,Kentucky,2082,25069,0.08
Graves,Kentucky,4371,37266,0.12
Grayson,Kentucky,1878,26427,0.07
Green,Kentucky,1045,10941,0.1
Greenup,Kentucky,4342,35098,0.12
Hancock,Kentucky,667,8722,0.08
Hardin,Kentucky,15783,110958,0.14
Harlan,Kentucky,2025,26010,0.08
Harrison,Kentucky,1891,18886,0.1
Hart,Kentucky,1440,19035,0.08
Henderson,Kentucky,5817,45210,0.13
Henry,Kentucky,1426,16126,0.09
Hickman,Kentucky,519,4380,0.12
Hopkins,Kentucky,5228,44686,0.12
Jackson,Kentucky,1296,13329,0.1
Jefferson,Kentucky,177361,766757,0.23
Jessamine,Kentucky,10260,54115,0.19
Johnson,Kentucky,2589,22188,0.12
Kenton,Kentucky,35671,166998,0.21
Knott,Kentucky,1570,14806,0.11
Knox,Kentucky,2984,31145,0.1
Larue,Kentucky,1229,14398,0.09
Laurel,Kentucky,6017,60813,0.1
Lawrence,Kentucky,1056,15317,0.07
Lee,Kentucky,410,7403,0.06
Leslie,Kentucky,638,9877,0.06
Letcher,Kentucky,1934,21553,0.09
Lewis,Kentucky,855,13275,0.06
Lincoln,Kentucky,2203,24549,0.09
Livingston,Kentucky,796,9194,0.09
Logan,Kentucky,3018,27102,0.11
Lyon,Kentucky,1109,8210,0.14
McCracken,Kentucky,11137,65418,0.17
McCreary,Kentucky,871,17231,0.05
McLean,Kentucky,870,9207,0.09
Madison,Kentucky,17121,92987,0.18
Magoffin,Kentucky,830,12161,0.07
Marion,Kentucky,1626,19273,0.08
Marshall,Kentucky,4359,31100,0.14
Martin,Kentucky,991,11195,0.09
Mason,Kentucky,2289,17070,0.13
Meade,Kentucky,3741,28572,0.13
Menifee,Kentucky,525,6489,0.08
Mercer,Kentucky,2795,21933,0.13
Metcalfe,Kentucky,913,10071,0.09
Monroe,Kentucky,1066,10650,0.1
Montgomery,Kentucky,2980,28157,0.11
Morgan,Kentucky,1234,13309,0.09
Muhlenberg,Kentucky,2735,30622,0.09
Nelson,Kentucky,5584,46233,0.12
Nicholas,Kentucky,432,7269,0.06
Ohio,Kentucky,2234,23994,0.09
Oldham,Kentucky,18500,66799,0.28
Owen,Kentucky,829,10901,0.08
Owsley,Kentucky,499,4415,0.11
Pendleton,Kentucky,1332,14590,0.09
Perry,Kentucky,2699,25758,0.1
Pike,Kentucky,5514,57876,0.1
Powell,Kentucky,1333,12359,0.11
Pulaski,Kentucky,7440,64979,0.11
Robertson,Kentucky,246,2108,0.12
Rockcastle,Kentucky,1349,16695,0.08
Rowan,Kentucky,3572,24460,0.15
Russell,Kentucky,1843,17923,0.1
Scott,Kentucky,10104,57004,0.18
Shelby,Kentucky,8059,49024,0.16
Simpson,Kentucky,1740,18572,0.09
Spencer,Kentucky,2636,19351,0.14
Taylor,Kentucky,3268,25769,0.13
Todd,Kentucky,1078,12294,0.09
Trigg,Kentucky,1707,14651,0.12
Trimble,Kentucky,849,8471,0.1
Union,Kentucky,1054,14381,0.07
Warren,Kentucky,25141,132896,0.19
Washington,Kentucky,1539,12095,0.13
Wayne,Kentucky,1813,20333,0.09
Webster,Kentucky,906,12942,0.07
Whitley,Kentucky,4714,36264,0.13
Wolfe,Kentucky,448,7157,0.06
Woodford,Kentucky,6183,26734,0.23
Acadia Parish,Louisiana,5478,62045,0.09
Allen Parish,Louisiana,2020,25627,0.08
Ascension Parish,Louisiana,21099,126604,0.17
Assumption Parish,Louisiana,1485,21891,0.07
Avoyelles Parish,Louisiana,3407,40144,0.08
Beauregard Parish,Louisiana,4396,37497,0.12
Bienville Parish,Louisiana,1213,13241,0.09
Bossier Parish,Louisiana,21026,127039,0.17
Caddo Parish,Louisiana,39063,240204,0.16
Calcasieu Parish,Louisiana,29704,203436,0.15
Caldwell Parish,Louisiana,933,9918,0.09
Cameron Parish,Louisiana,609,6973,0.09
Catahoula Parish,Louisiana,917,9494,0.1
Claiborne Parish,Louisiana,1527,15670,0.1
Concordia Parish,Louisiana,1870,19259,0.1
De Soto Parish,Louisiana,2744,27463,0.1
East Baton Rouge Parish,Louisiana,98011,440059,0.22
East Carroll Parish,Louisiana,435,6861,0.06
East Feliciana Parish,Louisiana,1814,19135,0.09
Evangeline Parish,Louisiana,2543,33395,0.08
Franklin Parish,Louisiana,1621,20015,0.08
Grant Parish,Louisiana,1356,22389,0.06
Iberia Parish,Louisiana,6344,69830,0.09
Iberville Parish,Louisiana,3202,32511,0.1
Jackson Parish,Louisiana,1574,15744,0.1
Jefferson Parish,Louisiana,82018,432493,0.19
Jefferson Davis Parish,Louisiana,3508,31368,0.11
Lafayette Parish,Louisiana,53472,244390,0.22
Lafourche Parish,Louisiana,11257,97614,0.12
LaSalle Parish,Louisiana,1365,14892,0.09
Lincoln Parish,Louisiana,9200,46742,0.2
Livingston Parish,Louisiana,18083,140789,0.13
Madison Parish,Louisiana,963,10951,0.09
Morehouse Parish,Louisiana,2213,24874,0.09
Natchitoches Parish,Louisiana,4381,38158,0.11
Orleans Parish,Louisiana,104257,390144,0.27
Ouachita Parish,Louisiana,24489,153279,0.16
Plaquemines Parish,Louisiana,2926,23197,0.13
Pointe Coupee Parish,Louisiana,2294,21730,0.11
Rapides Parish,Louisiana,18162,129648,0.14
Red River Parish,Louisiana,804,8442,0.1
Richland Parish,Louisiana,1818,20122,0.09
Sabine Parish,Louisiana,2206,23884,0.09
St. Bernard Parish,Louisiana,3502,47244,0.07
St. Charles Parish,Louisiana,8895,53100,0.17
St. Helena Parish,Louisiana,1236,10132,0.12
St. James Parish,Louisiana,2391,21096,0.11
St. John the Baptist Parish,Louisiana,4566,42837,0.11
St. Landry Parish,Louisiana,7937,82124,0.1
St. Martin Parish,Louisiana,5217,53431,0.1
St. Mary Parish,Louisiana,3531,49348,0.07
St. Tammany Parish,Louisiana,58978,260419,0.23
Tangipahoa Parish,Louisiana,17143,134758,0.13
Tensas Parish,Louisiana,361,4334,0.08
Terrebonne Parish,Louisiana,11537,110461,0.1
Union Parish,Louisiana,2700,22108,0.12
Vermilion Parish,Louisiana,5656,59511,0.1
Vernon Parish,Louisiana,5293,47429,0.11
Washington Parish,Louisiana,3650,46194,0.08
Webster Parish,Louisiana,4192,38340,0.11
West Baton Rouge Parish,Louisiana,3880,26465,0.15
West Carroll Parish,Louisiana,901,10830,0.08
West Feliciana Parish,Louisiana,2792,15568,0.18
Winn Parish,Louisiana,1420,13904,0.1
Androscoggin,Maine,17016,108277,0.16
Aroostook,Maine,9676,67055,0.14
Cumberland,Maine,100732,295003,0.34
Franklin,Maine,5352,30199,0.18
Hancock,Maine,14158,54987,0.26
Kennebec,Maine,24649,122302,0.2
Knox,Maine,10066,39772,0.25
Lincoln,Maine,8811,34634,0.25
Oxford,Maine,8225,57975,0.14
Penobscot,Maine,29900,152148,0.2
Piscataquis,Maine,2373,16785,0.14
Sagadahoc,Maine,9652,35856,0.27
Somerset,Maine,6159,50484,0.12
Waldo,Maine,9174,39715,0.23
Washington,Maine,5092,31379,0.16
York,Maine,48853,207641,0.24
Allegany,Maryland,9428,70416,0.13
Anne Arundel,Maryland,164303,579234,0.28
Baltimore,Maryland,226425,827370,0.27
Calvert,Maryland,20269,92525,0.22
Caroline,Maryland,4152,33406,0.12
Carroll,Maryland,42417,168447,0.25
Cecil,Maryland,16976,102855,0.17
Charles,Maryland,30913,163257,0.19
Dorchester,Maryland,4880,31929,0.15
Frederick,Maryland,70751,259547,0.27
Garrett,Maryland,4497,29014,0.16
Harford,Maryland,64164,255441,0.25
Howard,Maryland,134698,325690,0.41
Kent,Maryland,4895,19422,0.25
Montgomery,Maryland,422553,1050688,0.4
Prince George's,Maryland,203856,909327,0.22
Queen Anne's,Maryland,12801,50381,0.25
St. Mary's,Maryland,23702,113510,0.21
Somerset,Maryland,2456,25616,0.1
Talbot,Maryland,11338,37181,0.3
Washington,Maryland,23046,151049,0.15
Wicomico,Maryland,17576,103609,0.17
Worcester,Maryland,11440,52276,0.22
Baltimore city,Maryland,135188,593490,0.23
Barnstable,Massachusetts,72020,212990,0.34
Berkshire,Massachusetts,31156,124944,0.25
Bristol,Massachusetts,112574,565217,0.2
Dukes,Massachusetts,5762,17332,0.33
Essex,Massachusetts,216380,789034,0.27
Franklin,Massachusetts,19824,70180,0.28
Hampden,Massachusetts,86136,466372,0.18
Hampshire,Massachusetts,48392,160830,0.3
Middlesex,Massachusetts,632232,1611699,0.39
Nantucket,Massachusetts,4328,11399,0.38
Norfolk,Massachusetts,263397,706775,0.37
Plymouth,Massachusetts,135077,521202,0.26
Suffolk,Massachusetts,254858,803907,0.32
Worcester,Massachusetts,206929,830622,0.25
Alcona,Michigan,1443,10405,0.14
Alger,Michigan,1218,9108,0.13
Allegan,Michigan,17818,118081,0.15
Alpena,Michigan,3807,28405,0.13
Antrim,Michigan,5035,23324,0.22
Arenac,Michigan,1433,14883,0.1
Baraga,Michigan,987,8209,0.12
Barry,Michigan,8924,61550,0.15
Bay,Michigan,14413,103126,0.14
Benzie,Michigan,4020,17766,0.23
Berrien,Michigan,29919,153401,0.2
Branch,Michigan,4367,43517,0.1
Calhoun,Michigan,19175,134159,0.14
Cass,Michigan,7048,51787,0.14
Charlevoix,Michigan,5991,26143,0.23
Cheboygan,Michigan,4028,25276,0.16
Chippewa,Michigan,5530,37349,0.15
Clare,Michigan,2835,30950,0.09
Clinton,Michigan,17290,79595,0.22
Crawford,Michigan,2030,14029,0.14
Delta,Michigan,5546,35784,0.16
Dickinson,Michigan,4786,25239,0.19
Eaton,Michigan,21311,110268,0.19
Emmet,Michigan,8052,33415,0.24
Genesee,Michigan,59248,405813,0.15
Gladwin,Michigan,2535,25449,0.1
Gogebic,Michigan,2242,13975,0.16
Grand Traverse,Michigan,23999,93088,0.26
Gratiot,Michigan,4339,40711,0.11
Hillsdale,Michigan,5421,45605,0.12
Houghton,Michigan,6904,35684,0.19
Huron,Michigan,3682,30981,0.12
Ingham,Michigan,68502,292406,0.23
Ionia,Michigan,7168,64697,0.11
Iosco,Michigan,3110,25127,0.12
Iron,Michigan,1611,11066,0.15
Isabella,Michigan,11268,69872,0.16
Jackson,Michigan,24407,158510,0.15
Kalamazoo,Michigan,63961,265066,0.24
Kalkaska,Michigan,1512,18038,0.08
Kent,Michigan,152873,656955,0.23
Keweenaw,Michigan,545,2116,0.26
Lake,Michigan,1086,11853,0.09
Lapeer,Michigan,11414,87607,0.13
Leelanau,Michigan,7484,21761,0.34
Lenawee,Michigan,14371,98451,0.15
Livingston,Michigan,47052,191995,0.25
Luce,Michigan,881,6229,0.14
Mackinac,Michigan,1949,10799,0.18
Macomb,Michigan,152468,873972,0.17
Manistee,Michigan,3724,24558,0.15
Marquette,Michigan,14648,66699,0.22
Mason,Michigan,4842,29144,0.17
Mecosta,Michigan,6101,43453,0.14
Menominee,Michigan,2798,22780,0.12
Midland,Michigan,20528,83156,0.25
Missaukee,Michigan,1460,15118,0.1
Monroe,Michigan,21581,150500,0.14
Montcalm,Michigan,5882,63888,0.09
Montmorency,Michigan,1010,9328,0.11
Muskegon,Michigan,23337,173566,0.13
Newaygo,Michigan,5610,48980,0.11
Oakland,Michigan,417746,1257584,0.33
Oceana,Michigan,3530,26467,0.13
Ogemaw,Michigan,1905,20997,0.09
Ontonagon,Michigan,803,5720,0.14
Osceola,Michigan,2313,23460,0.1
Oscoda,Michigan,651,8241,0.08
Otsego,Michigan,4105,24668,0.17
Ottawa,Michigan,60731,291830,0.21
Presque Isle,Michigan,1777,12592,0.14
Roscommon,Michigan,2931,24019,0.12
Saginaw,Michigan,27514,190539,0.14
St. Clair,Michigan,21001,159128,0.13
St. Joseph,Michigan,6613,60964,0.11
Sanilac,Michigan,4158,41170,0.1
Schoolcraft,Michigan,963,8094,0.12
Shiawassee,Michigan,8186,68122,0.12
Tuscola,Michigan,5110,52245,0.1
Van Buren,Michigan,11240,75677,0.15
Washtenaw,Michigan,128223,367601,0.35
Wayne,Michigan,282906,1749343,0.16
Wexford,Michigan,4205,33631,0.13
Aitkin,Minnesota,2234,15886,0.14
Anoka,Minnesota,72788,356921,0.2
Becker,Minnesota,5816,34423,0.17
Beltrami,Minnesota,8332,47188,0.18
Benton,Minnesota,6306,40889,0.15
Big Stone,Minnesota,562,4991,0.11
Blue Earth,Minnesota,13550,67653,0.2
Brown,Minnesota,3846,25008,0.15
Carlton,Minnesota,5521,35871,0.15
Carver,Minnesota,32450,105089,0.31
Cass,Minnesota,4947,29779,0.17
Chippewa,Minnesota,1565,11800,0.13
Chisago,Minnesota,8254,56579,0.15
Clay,Minnesota,13179,64222,0.21
Clearwater,Minnesota,1028,8818,0.12
Cook,Minnesota,1730,5463,0.32
Cottonwood,Minnesota,1559,11196,0.14
Crow Wing,Minnesota,11330,65055,0.17
Dakota,Minnesota,120099,429021,0.28
Dodge,Minnesota,3503,20934,0.17
Douglas,Minnesota,6990,38141,0.18
Faribault,Minnesota,1831,13653,0.13
Fillmore,Minnesota,3203,21067,0.15
Freeborn,Minnesota,3732,30281,0.12
Goodhue,Minnesota,8504,46340,0.18
Grant,Minnesota,794,5972,0.13
Hennepin,Minnesota,432616,1265843,0.34
Houston,Minnesota,3309,18600,0.18
Hubbard,Minnesota,4189,21491,0.19
Isanti,Minnesota,5008,40596,0.12
Itasca,Minnesota,7514,45130,0.17
Jackson,Minnesota,1610,9846,0.16
Kanabec,Minnesota,1682,16337,0.1
