GEO_ID,County,State,Households_total
0500000US37021,Buncombe,North Carolina,106741
0500000US37023,Burke,North Carolina,36634
0500000US37025,Cabarrus,North Carolina,68798
0500000US37027,Caldwell,North Carolina,32513
0500000US37031,Carteret,North Carolina,28962
0500000US37035,Catawba,North Carolina,62417
0500000US37037,Chatham,North Carolina,30674
0500000US37045,Cleveland,North Carolina,30599
0500000US37049,Craven,North Carolina,42221
0500000US37051,Cumberland,North Carolina,128135
0500000US37057,Davidson,North Carolina,69938
0500000US37063,Durham,North Carolina,131140
0500000US37067,Forsyth,North Carolina,148151
0500000US37069,Franklin,North Carolina,26720
0500000US37071,Gaston,North Carolina,85705
0500000US37081,Guilford,North Carolina,206950
0500000US37085,Harnett,North Carolina,46416
0500000US37089,Henderson,North Carolina,51115
0500000US37097,Iredell,North Carolina,68145
0500000US37101,Johnston,North Carolina,73567
0500000US37109,Lincoln,North Carolina,34418
0500000US37119,Mecklenburg,North Carolina,426313
0500000US37125,Moore,North Carolina,41530
0500000US37127,Nash,North Carolina,37574
0500000US37129,New Hanover,North Carolina,100189
0500000US37133,Onslow,North Carolina,63604
0500000US37135,Orange,North Carolina,55259
0500000US37147,Pitt,North Carolina,70926
0500000US37151,Randolph,North Carolina,56117
0500000US37155,Robeson,North Carolina,46272
0500000US37157,Rockingham,North Carolina,38462
0500000US37159,Rowan,North Carolina,55241
0500000US37161,Rutherford,North Carolina,27970
0500000US37171,Surry,North Carolina,28408
0500000US37179,Union,North Carolina,77954
0500000US37183,Wake,North Carolina,419361
0500000US37191,Wayne,North Carolina,48482
0500000US37193,Wilkes,North Carolina,28376
0500000US37195,Wilson,North Carolina,32384
0500000US38015,Burleigh,North Dakota,38438
0500000US38017,Cass,North Dakota,78736
0500000US38035,Grand Forks,North Dakota,31506
0500000US38101,Ward,North Dakota,28908
0500000US39003,Allen,Ohio,40460
0500000US39007,Ashtabula,Ohio,39490
0500000US39009,Athens,Ohio,22659
0500000US39013,Belmont,Ohio,25651
0500000US39017,Butler,Ohio,140141
0500000US39023,Clark,Ohio,54406
0500000US39025,Clermont,Ohio,80041
0500000US39029,Columbiana,Ohio,40560
0500000US39035,Cuyahoga,Ohio,549471
0500000US39041,Delaware,Ohio,73290
0500000US39043,Erie,Ohio,30308
0500000US39045,Fairfield,Ohio,59031
0500000US39049,Franklin,Ohio,522383
0500000US39055,Geauga,Ohio,35439
0500000US39057,Greene,Ohio,66154
0500000US39061,Hamilton,Ohio,347235
0500000US39063,Hancock,Ohio,32490
0500000US39081,Jefferson,Ohio,27515
0500000US39085,Lake,Ohio,96967
0500000US39089,Licking,Ohio,66604
0500000US39093,Lorain,Ohio,120299
0500000US39095,Lucas,Ohio,182105
0500000US39099,Mahoning,Ohio,100057
0500000US39101,Marion,Ohio,25013
0500000US39103,Medina,Ohio,70450
0500000US39109,Miami,Ohio,41273
0500000US39113,Montgomery,Ohio,224831
0500000US39119,Muskingum,Ohio,33342
0500000US39133,Portage,Ohio,61018
0500000US39139,Richland,Ohio,49812
0500000US39141,Ross,Ohio,28365
0500000US39145,Scioto,Ohio,29319
0500000US39151,Stark,Ohio,154280
0500000US39153,Summit,Ohio,224629
0500000US39155,Trumbull,Ohio,84159
0500000US39157,Tuscarawas,Ohio,36788
0500000US39165,Warren,Ohio,84460
0500000US39169,Wayne,Ohio,44589
0500000US39173,Wood,Ohio,51353
0500000US40017,Canadian,Oklahoma,46005
0500000US40027,Cleveland,Oklahoma,108673
0500000US40031,Comanche,Oklahoma,41843
0500000US40037,Creek,Oklahoma,26561
0500000US40101,Muskogee,Oklahoma,26842
0500000US40109,Oklahoma,Oklahoma,305493
0500000US40119,Payne,Oklahoma,31788
0500000US40125,Pottawatomie,Oklahoma,25655
0500000US40131,Rogers,Oklahoma,35531
0500000US40143,Tulsa,Oklahoma,255352
0500000US40145,Wagoner,Oklahoma,29837
0500000US41003,Benton,Oregon,37378
0500000US41005,Clackamas,Oregon,161295
0500000US41017,Deschutes,Oregon,76528
0500000US41019,Douglas,Oregon,46186
0500000US41029,Jackson,Oregon,87800
0500000US41033,Josephine,Oregon,35206
0500000US41035,Klamath,Oregon,29357
0500000US41039,Lane,Oregon,155696
0500000US41043,Linn,Oregon,49407
0500000US41047,Marion,Oregon,121061
0500000US41051,Multnomah,Oregon,337903
0500000US41053,Polk,Oregon,31224
0500000US41059,Umatilla,Oregon,27538
0500000US41067,Washington,Oregon,222877
0500000US41071,Yamhill,Oregon,36323
0500000US42001,Adams,Pennsylvania,38703
0500000US42003,Allegheny,Pennsylvania,553858
0500000US42005,Armstrong,Pennsylvania,29095
0500000US42007,Beaver,Pennsylvania,70745
0500000US42011,Berks,Pennsylvania,154696
0500000US42013,Blair,Pennsylvania,52497
0500000US42017,Bucks,Pennsylvania,240491
0500000US42019,Butler,Pennsylvania,77920
0500000US42021,Cambria,Pennsylvania,56490
0500000US42025,Carbon,Pennsylvania,27107
0500000US42027,Centre,Pennsylvania,58963
0500000US42029,Chester,Pennsylvania,193234
0500000US42033,Clearfield,Pennsylvania,31990
0500000US42037,Columbia,Pennsylvania,26219
0500000US42039,Crawford,Pennsylvania,35387
0500000US42041,Cumberland,Pennsylvania,101823
0500000US42043,Dauphin,Pennsylvania,113905
0500000US42045,Delaware,Pennsylvania,209502
0500000US42049,Erie,Pennsylvania,110128
0500000US42051,Fayette,Pennsylvania,54955
0500000US42055,Franklin,Pennsylvania,60260
0500000US42063,Indiana,Pennsylvania,30704
0500000US42069,Lackawanna,Pennsylvania,88154
0500000US42071,Lancaster,Pennsylvania,204701
0500000US42073,Lawrence,Pennsylvania,37282
0500000US42075,Lebanon,Pennsylvania,53861
0500000US42077,Lehigh,Pennsylvania,137847
0500000US42079,Luzerne,Pennsylvania,130890
0500000US42081,Lycoming,Pennsylvania,44842
0500000US42085,Mercer,Pennsylvania,46427
0500000US42089,Monroe,Pennsylvania,56274
0500000US42091,Montgomery,Pennsylvania,321373
0500000US42095,Northampton,Pennsylvania,114950
0500000US42097,Northumberland,Pennsylvania,38592
0500000US42101,Philadelphia,Pennsylvania,619505
0500000US42107,Schuylkill,Pennsylvania,58242
0500000US42111,Somerset,Pennsylvania,29456
0500000US42125,Washington,Pennsylvania,86716
0500000US42129,Westmoreland,Pennsylvania,155147
0500000US42133,York,Pennsylvania,175441
0500000US44003,Kent,Rhode Island,70166
0500000US44005,Newport,Rhode Island,33690
0500000US44007,Providence,Rhode Island,237518
0500000US44009,Washington,Rhode Island,48051
0500000US45003,Aiken,South Carolina,67889
0500000US45007,Anderson,South Carolina,75825
0500000US45013,Beaufort,South Carolina,73043
0500000US45015,Berkeley,South Carolina,80640
0500000US45019,Charleston,South Carolina,165568
0500000US45031,Darlington,South Carolina,24801
0500000US45035,Dorchester,South Carolina,57768
0500000US45041,Florence,South Carolina,53047
0500000US45045,Greenville,South Carolina,199551
0500000US45047,Greenwood,South Carolina,28544
0500000US45051,Horry,South Carolina,140260
0500000US45055,Kershaw,South Carolina,24544
0500000US45057,Lancaster,South Carolina,35410
0500000US45059,Laurens,South Carolina,25901
0500000US45063,Lexington,South Carolina,118193
0500000US45073,Oconee,South Carolina,31530
0500000US45075,Orangeburg,South Carolina,32129
0500000US45077,Pickens,South Carolina,48203
0500000US45079,Richland,South Carolina,153484
