t,A,B,C,D,E,F,G
0.935,0.271839569,0.086515327,0.00673052,0.123263163,0.010867472,0.261123509,0.493643929
0.94,0.270206105,0.086588676,0.006111663,0.122958301,0.007889347,0.261057652,0.493663737
0.945,0.26897303,0.086684592,0.00449239,0.12250439,0.004843989,0.260228279,0.493676829
0.95,0.267996103,0.086787244,0.002384476,0.121920172,0.002206895,0.258847861,0.493676224
0.955,0.266759737,0.086850616,0.000641279,0.121264521,0.000400998,0.257491826,0.493670664
0.96,0.264844011,0.086842239,-3.26E-05,0.120594003,-0.000258329,0.256627467,0.49366795
0.965,0.262454763,0.086815996,0.000117755,0.119946962,-0.000111948,0.2560205,0.493668529
0.97,0.260035532,0.086858571,0.000486835,0.119354818,0.000249998,0.255170146,0.493670054
0.975,0.257955376,0.087019304,0.000614922,0.118845403,0.000378709,0.253788137,0.493670702
0.98,0.256323184,0.087217666,0.000551504,0.118434142,0.000317722,0.252325747,0.493670486
0.985,0.255190432,0.08734541,0.000456058,0.118133568,0.000216992,0.251391391,0.493669818
0.99,0.254470348,0.087355829,0.000428911,0.117928028,0.0001772,0.251143899,0.493669201
0.995,0.253797445,0.087326285,0.000451133,0.11774505,0.000199687,0.250835715,0.493669319
1,0.252779978,0.087346986,0.000490367,0.117506574,0.000273429,0.249634602,0.49367083
1.005,0.251269396,0.087438731,0.000544601,0.117176204,0.000372993,0.247523214,0.493672687
1.01,0.249412575,0.087538004,0.000648687,0.116768161,0.000455446,0.245474143,0.493671774
1.015,0.247378118,0.08758343,0.000836284,0.116299483,0.000480773,0.244436231,0.493665449
1.02,0.245389898,0.087615773,0.001092846,0.115783903,0.000465094,0.244179486,0.493659544
1.025,0.243712733,0.087751446,0.001368115,0.115232708,0.000466113,0.243600735,0.49366617
1.03,0.24256976,0.088085573,0.001520844,0.114671907,0.000531995,0.241753095,0.493692559
1.035,0.241872678,0.088544782,0.001634412,0.114235476,0.000634091,0.238981335,0.493709269
1.04,0.241395041,0.088980966,0.001731856,0.114105276,0.000709681,0.236203144,0.493670585
